191,338
180,19
209,6
199,371
180,32
160,35
219,67
180,6
150,13
197,14
184,49
158,42
167,14
218,35
165,36
198,36
206,39
206,55
182,44
152,12
217,367
187,34
215,22
201,26
212,1
181,362
166,40
228,13
199,34
212,29
189,10
164,363
213,49
175,37
188,13
196,369
189,14
162,47
163,35
197,366
172,59
210,360
199,366
194,368
201,73
148,57
188,41
192,78
198,74
194,50
184,32
179,28
176,37
190,70
208,5
223,369
197,50
197,368
191,24
207,9
194,11
204,34
190,52
184,64
215,52
202,65
221,75
178,82
193,90
184,38
196,51
198,17
165,41
198,355
190,38
230,6
218,44
187,367
201,75
221,51
168,49
206,62
173,39
219,370
172,54
218,45
174,48
193,5
182,72
192,349
194,75
226,46
191,29
170,58
160,49
155,42
216,35
196,357
200,31
194,43
217,21
191,38
184,53
216,9
181,79
194,354
220,362
192,45
161,48
144,53
200,56
217,367
162,48
245,2
207,349
198,39
175,23
193,371
195,371
201,36
224,21
197,64
190,67
165,41
213,369
182,371
200,52
243,50
235,34
175,23
211,369
190,332
209,20
151,5
210,79
160,29
181,57
155,42
